"Name" "EVBT-20" "EVHCC-1954-luc" "EVHCC-1954" "EVT47D" "RNABT-20" "RNAHCC-1954-luc" "RNAHCC-1954" "RNAT47D" "SerumEV1" "SerumEV2" "SerumEV3" "SerumEV4" "SerumEV5" "SerumEV6" "SerumEV7" "SerumEV8"
"1" "GeneID1" 0 0 0 0 126 0 0 0 0 0 0 0 0 0 0 0
"2" "GeneID2" 2 0 0 1 73 111 96 50 0 0 0 0 0 0 1 0
"3" "GeneID3" 619 710 425 374 51875 32927 44430 29281 297 32 38 155 322 211 281 97
"4" "GeneID4" 0 0 1 0 182 107 148 27 0 0 0 0 0 0 0 0
"5" "GeneID5" 1437 470 334 70 60238 33346 66138 8625 112 9 29 43 106 70 113 33
"6" "GeneID6" 0 0 0 0 0 0 9 1 0 0 0 0 0 0 0 0
"7" "GeneID7" 19 108 45 211 296 776 1737 1614 57 25 90 29 92 51 63 46
"8" "GeneID8" 6 7 2 0 794 1364 1440 15 0 0 0 1 1 3 0 2
"9" "GeneID9" 14 24 15 5 1737 2096 2581 78 11 4 3 4 21 20 11 8
"10" "GeneID10" 0 0 0 0 43 17 27 5 0 0 0 1 0 0 0 0
"11" "GeneID11" 51 117 56 25 23502 20087 28985 10544 29 0 2 17 12 20 18 1
"12" "GeneID12" 0 1 0 0 6 19 16 0 0 0 0 0 0 0 0 0
"13" "GeneID13" 1 0 0 0 6 18 13 0 0 0 0 0 0 0 0 0
"14" "GeneID14" 291 682 340 20 11223 27136 22495 855 195 39 54 165 418 238 238 101
"15" "GeneID15" 0 0 0 0 8 2 13 0 0 0 0 0 0 0 0 0
"16" "GeneID16" 13 24 13 0 3312 3332 3332 184 27 4 3 27 34 35 41 7
"17" "GeneID17" 0 0 0 0 246 19 25 0 0 0 0 0 1 0 0 0
"18" "GeneID18" 1167 99 38 4 71616 9370 9666 510 148 40 34 108 327 189 157 96
"19" "GeneID19" 10 19 10 20 0 0 0 1 16 21 14 15 15 31 21 18
"20" "GeneID20" 1 0 0 0 262 1 0 0 0 0 0 0 0 0 0 0
"21" "GeneID21" 293 2 3 0 2709 18 7 1 2 0 2 1 1 0 0 0
"22" "GeneID22" 9 47 47 13 842 3177 2988 1073 24 2 2 20 23 13 38 4
"23" "GeneID23" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"24" "GeneID24" 0 0 0 0 3 4 1 0 0 0 0 0 0 0 0 0
"25" "GeneID25" 29 76 39 77 7816 7704 11866 13707 17 8 4 23 24 19 22 5
"26" "GeneID26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" "GeneID27" 0 0 0 0 50 10 20 25 0 0 0 0 0 0 0 0
"28" "GeneID28" 5 0 2 1 633 88 113 314 0 0 0 0 0 0 0 0
"29" "GeneID29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" "GeneID30" 0 0 0 0 4 6 4 4 0 0 0 0 0 0 1 0
"31" "GeneID31" 6 1 2 0 771 748 1005 564 0 0 0 0 0 1 1 3
"32" "GeneID32" 0 0 0 0 43 43 62 36 0 0 0 1 1 0 0 0
"33" "GeneID33" 2 2 0 0 494 382 522 717 1 0 0 1 0 2 3 0
"34" "GeneID34" 0 0 0 0 77 5 8 62 0 0 0 1 0 0 0 0
"35" "GeneID35" 28 2 0 31 610 49 69 424 11 0 3 5 6 13 7 6
"36" "GeneID36" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"37" "GeneID37" 0 0 0 1 2 1 1 1 0 1 1 2 4 5 3 1
"38" "GeneID38" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" "GeneID39" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"40" "GeneID40" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"41" "GeneID41" 5 1 0 1 126 42 68 245 0 0 0 0 0 0 0 0
"42" "GeneID42" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"43" "GeneID43" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" "GeneID44" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" "GeneID45" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" "GeneID46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"47" "GeneID47" 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0
"48" "GeneID48" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"49" "GeneID49" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"50" "GeneID50" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"51" "GeneID51" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"52" "GeneID52" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"53" "GeneID53" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"54" "GeneID54" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"55" "GeneID55" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"56" "GeneID56" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"57" "GeneID57" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" "GeneID58" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" "GeneID59" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
