Name "RNA4T1A" "RNA4T1B" "EV4T1A" "EV4T1B"
1 "GeneID1" 52 53 0 1
2 "GeneID2" 8 8 1 0
3 "GeneID3" 33560 28196 3215 3823
4 "GeneID4" 53 51 2 1
5 "GeneID5" 72981 65539 4108 4531
6 "GeneID6" 3 8 0 2
7 "GeneID7" 51 46 0 3
8 "GeneID8" 50827 46704 5596 6603
9 "GeneID9" 3583 2708 66 65
10 "GeneID10" 2923 2409 282 306
11 "GeneID11" 35 21 0 1
12 "GeneID12" 25006 23243 1772 2153
13 "GeneID13" 5 7 0 0
14 "GeneID14" 2 4 0 0
15 "GeneID15" 22017 24561 3385 3957
16 "GeneID16" 6 2 0 0
17 "GeneID17" 3809 3846 208 256
18 "GeneID18" 40 67 1 0
19 "GeneID19" 20802 23884 3370 4119
20 "GeneID20" 984 1098 63 85
21 "GeneID21" 6 1 0 0
22 "GeneID22" 11 13 0 0
23 "GeneID23" 388 410 85 82
24 "GeneID24" 526 935 23 28
25 "GeneID25" 1 0 0 0
26 "GeneID26" 2247 3149 120 121
27 "GeneID27" 2 0 0 0
28 "GeneID28" 0 2 0 0
29 "GeneID29" 0 0 0 0
30 "GeneID30" 1 0 0 0
31 "GeneID31" 4867 4910 319 376
32 "GeneID32" 0 0 0 0
33 "GeneID33" 0 0 0 0
34 "GeneID34" 2 2 0 0
35 "GeneID35" 390 367 21 28
36 "GeneID36" 47 37 1 0
37 "GeneID37" 269 220 1 4
38 "GeneID38" 0 1 0 0
39 "GeneID39" 0 0 0 0
40 "GeneID40" 1 1 1 6
41 "GeneID41" 36 21 3 4
42 "GeneID42" 158 206 62 51
43 "GeneID43" 17 17 0 1
44 "GeneID44" 0 0 0 0
45 "GeneID45" 0 0 0 0
46 "GeneID46" 4 2 0 1
47 "GeneID47" 19 10 1 0
48 "GeneID48" 0 0 0 0
49 "GeneID49" 1 1 0 0
50 "GeneID50" 0 0 0 0
51 "GeneID51" 0 0 0 0
52 "GeneID52" 0 0 0 0
53 "GeneID53" 0 0 0 0
54 "GeneID54" 0 0 0 0
55 "GeneID55" 0 0 0 0
56 "GeneID56" 0 0 0 0
57 "GeneID57" 0 0 0 1
58 "GeneID58" 64 64 10 8
59 "GeneID59" 11 7 0 0
60 "GeneID60" 36 22 6 7
61 "GeneID61" 0 0 0 0
62 "GeneID62" 4 7 837 909
63 "GeneID63" 0 0 0 0
64 "GeneID64" 1 0 1 0
65 "GeneID65" 5 4 0 0
66 "GeneID66" 2 0 0 0
67 "GeneID67" 0 0 0 0
68 "GeneID68" 0 0 0 0
69 "GeneID69" 0 0 0 0
70 "GeneID70" 0 0 0 0
71 "GeneID71" 9 3 0 0
72 "GeneID72" 0 0 1 1
73 "GeneID73" 0 0 0 0
74 "GeneID74" 0 0 0 0
75 "GeneID75" 0 0 0 0
76 "GeneID76" 0 0 0 0
77 "GeneID77" 368 294 81 88
